city,temperature,rain,wind,humidity,claim_count_30d,avg_claim_amount,time_since_last_claim_hr,location_mismatch_score,speed_jump_kmh,accel_flatline_pct,risk_level,is_anomaly
Chennai,31.4,0.0,8.2,43.1,2,149.87,209.1,3.7,10.2,25.9,LOW,0
Mumbai,25.1,24.6,6.7,83.4,0,181.74,680.2,20.2,6.1,8.4,LOW,0
Mumbai,38.5,0.0,6.2,58.3,3,140.12,638.2,2.6,79.1,13.3,LOW,0
Ahmedabad,35.2,0.1,5.6,63.8,2,238.46,569.6,8.9,33.0,16.5,LOW,0
Pune,26.9,1.9,7.6,87.3,1,52.09,201.8,6.5,5.5,28.8,LOW,0
Kolkata,28.4,0.0,8.8,72.5,3,173.3,133.0,1.1,8.9,18.0,LOW,0
Jaipur,28.7,0.0,1.1,62.0,0,185.2,369.2,0.3,79.4,20.1,LOW,0
Kolkata,29.6,0.0,7.6,40.1,1,195.7,564.4,16.4,14.2,16.4,LOW,0
Jaipur,34.4,0.0,6.7,48.7,3,118.48,311.7,19.0,59.5,18.4,LOW,0
Pune,37.2,0.0,6.9,70.5,1,161.61,589.0,18.5,70.5,8.3,LOW,0
Delhi,43.7,0.0,4.7,75.0,2,187.58,285.2,13.5,41.9,25.4,MODERATE,0
Lucknow,25.8,6.6,0.7,70.2,3,93.44,119.9,16.6,0.2,5.4,LOW,0
Lucknow,25.4,0.0,7.8,57.2,1,194.68,96.5,5.6,56.2,1.6,LOW,0
Ahmedabad,42.1,0.0,6.8,54.9,11,439.08,18.2,98.9,286.4,93.0,MODERATE,1
Delhi,29.1,0.0,5.4,44.9,2,210.27,557.5,18.3,24.0,5.2,LOW,0
Pune,34.9,11.6,6.7,75.5,3,90.59,417.6,24.5,13.2,21.0,MODERATE,0
Pune,30.6,62.1,0.0,74.4,0,142.35,358.7,10.9,75.0,21.2,MODERATE,0
Lucknow,34.0,0.0,2.9,74.9,1,95.04,115.4,10.0,73.8,14.2,LOW,0
Chennai,30.1,82.9,4.3,69.9,1,218.96,210.6,3.9,68.2,1.4,MODERATE,1
Mumbai,24.7,92.0,10.7,80.8,1,215.57,572.2,15.6,39.6,29.4,ELEVATED,1
Chennai,29.7,0.0,8.7,60.6,0,86.6,39.3,18.0,33.4,2.7,LOW,0
Pune,34.1,43.3,13.0,76.5,0,172.58,181.4,21.2,34.3,4.2,MODERATE,0
Pune,31.7,0.0,7.7,76.2,3,207.39,101.9,8.9,78.2,23.8,LOW,0
Bengaluru,25.4,10.0,2.6,81.5,0,181.93,136.5,6.4,75.7,16.8,LOW,0
Lucknow,42.1,7.6,10.1,70.9,2,181.36,596.2,9.5,62.0,28.9,LOW,0
Ahmedabad,43.4,0.0,2.9,67.6,1,156.61,133.9,17.4,63.5,9.5,LOW,0
Delhi,40.7,10.6,5.2,74.9,3,180.86,129.9,11.0,49.2,2.5,MODERATE,0
Jaipur,35.1,0.0,11.2,58.2,0,114.6,718.0,24.5,52.5,3.9,LOW,0
Chennai,36.6,0.0,14.8,45.3,3,233.64,101.1,19.0,79.0,27.0,LOW,0
Jaipur,34.5,0.0,0.3,43.0,3,67.44,524.5,10.5,72.4,22.2,LOW,0
Mumbai,34.3,0.0,11.8,67.0,2,100.79,45.7,18.5,8.5,9.4,LOW,0
Ahmedabad,35.0,0.0,6.6,65.5,0,93.11,274.8,1.7,61.1,12.2,LOW,0
Hyderabad,36.9,0.0,6.0,59.9,2,83.82,295.3,9.5,18.1,11.4,LOW,0
Delhi,43.8,0.0,4.9,54.4,11,356.01,20.7,57.5,742.0,90.2,LOW,1
Jaipur,41.0,0.0,13.2,81.4,3,190.74,400.3,2.4,19.4,0.4,MODERATE,0
Ahmedabad,41.1,3.1,3.3,87.9,13,475.45,8.6,60.4,792.9,85.0,MODERATE,1
Bengaluru,25.8,38.9,0.0,100.0,0,169.8,104.0,2.3,72.8,20.1,MODERATE,0
Bengaluru,23.5,4.5,4.7,97.2,2,152.47,96.5,9.6,39.0,19.6,LOW,0
Mumbai,31.4,0.0,2.8,47.5,1,122.37,352.9,1.1,11.2,8.3,LOW,0
Bengaluru,22.3,0.0,0.0,24.8,0,153.31,27.8,0.2,17.5,1.1,LOW,0
Bengaluru,32.3,0.0,3.3,32.5,0,213.34,222.1,20.5,42.5,26.4,LOW,0
Kolkata,30.9,0.0,9.2,46.5,3,226.45,491.0,6.5,54.0,8.9,LOW,0
Lucknow,33.7,0.0,2.2,51.8,1,68.46,439.0,13.7,72.0,12.1,LOW,0
Delhi,39.1,0.0,5.5,41.9,1,150.43,120.7,2.9,12.3,5.2,LOW,0
Pune,30.2,0.3,2.8,59.6,0,129.87,657.5,20.2,17.3,14.0,LOW,0
Ahmedabad,41.8,0.0,6.3,77.1,0,222.35,434.8,5.7,30.7,13.5,LOW,0
Jaipur,24.1,0.0,4.9,70.7,0,155.16,380.1,4.1,51.7,1.3,LOW,0
Bengaluru,24.1,25.9,3.7,63.0,6,320.25,20.5,71.9,697.1,83.2,LOW,1
Pune,37.6,14.6,3.6,80.1,3,69.86,169.4,23.1,33.1,11.9,LOW,0
Pune,29.0,50.7,9.8,88.4,3,159.08,85.4,15.2,12.1,0.9,MODERATE,0
Pune,25.2,0.0,5.4,73.9,2,121.24,599.5,17.7,14.2,15.2,LOW,0
Chennai,33.2,30.4,8.5,77.9,2,91.46,568.5,18.4,24.0,9.8,MODERATE,0
Ahmedabad,30.9,0.0,6.5,54.6,2,76.47,436.7,15.0,28.3,13.8,LOW,0
Pune,31.2,34.8,3.8,87.5,0,239.82,381.0,2.3,60.4,14.8,MODERATE,0
Kolkata,25.2,43.0,3.5,82.9,1,195.14,646.5,11.4,35.5,18.1,LOW,0
Hyderabad,33.6,0.0,8.2,38.4,2,226.69,336.0,12.8,50.1,27.8,LOW,0
Mumbai,37.9,0.0,7.3,45.7,3,213.96,256.1,18.3,42.3,23.8,LOW,0
Delhi,32.8,20.1,8.6,86.2,3,237.42,596.1,20.2,70.8,21.0,MODERATE,0
Ahmedabad,44.7,0.0,2.9,60.6,0,239.54,74.3,23.9,41.8,9.0,LOW,0
Ahmedabad,36.3,14.9,0.1,66.8,2,210.7,670.7,10.1,72.5,9.6,LOW,0
Chennai,33.5,1.2,10.6,75.1,2,227.73,374.1,11.2,46.9,18.7,LOW,0
Hyderabad,35.7,0.0,10.7,45.8,1,154.03,123.4,19.4,21.7,14.9,LOW,0
Mumbai,33.0,55.2,5.2,72.5,1,229.15,430.0,11.7,27.2,28.2,MODERATE,0
Jaipur,26.9,0.0,4.5,67.3,0,134.48,286.6,23.4,54.0,3.5,LOW,0
Kolkata,21.2,0.0,5.6,61.3,0,105.69,114.2,16.9,75.5,8.1,LOW,0
Hyderabad,36.5,8.9,7.6,80.0,2,72.2,465.6,19.3,0.2,25.8,MODERATE,0
Mumbai,25.5,0.0,12.0,66.2,1,93.15,495.8,15.2,23.6,4.1,LOW,0
Kolkata,32.5,0.0,4.2,56.7,0,228.04,224.0,9.2,4.6,3.3,LOW,0
Lucknow,28.4,0.0,4.3,58.5,0,74.87,311.9,12.3,32.3,15.9,LOW,0
Pune,33.7,0.0,2.2,53.7,2,204.8,562.0,13.0,78.1,3.8,LOW,0
Chennai,32.4,7.0,4.9,57.3,2,153.59,266.3,9.3,0.1,9.0,LOW,0
Hyderabad,38.1,0.0,4.4,70.1,3,141.6,301.0,7.6,5.3,6.8,LOW,0
Mumbai,30.1,44.5,15.2,81.8,3,248.27,403.0,24.1,6.0,11.0,MODERATE,0
Lucknow,31.1,0.0,3.0,59.7,0,155.45,654.9,4.1,51.4,24.3,LOW,0
Hyderabad,39.0,0.0,1.3,57.0,1,51.57,463.1,11.2,10.7,28.7,LOW,0
Mumbai,32.0,0.0,3.1,52.7,1,159.37,149.5,11.5,44.9,25.9,LOW,0
Ahmedabad,39.2,0.0,6.1,35.8,2,85.22,172.9,0.3,1.1,24.9,LOW,0
Mumbai,29.5,0.0,12.7,53.9,1,193.67,196.1,16.0,53.3,4.9,LOW,0
Ahmedabad,39.8,0.0,6.3,60.6,3,95.74,465.5,5.6,25.7,25.4,LOW,0
Ahmedabad,34.0,0.0,7.3,65.6,9,357.78,10.2,95.2,795.6,61.8,LOW,1
Kolkata,25.6,0.0,1.2,32.6,3,127.26,423.4,10.4,67.8,27.1,LOW,0
Lucknow,25.4,0.7,4.1,82.6,0,136.28,524.5,14.1,34.2,9.8,LOW,0
Delhi,30.6,0.0,2.0,71.9,2,158.9,166.3,6.4,23.7,17.8,LOW,0
Jaipur,26.6,0.0,4.2,44.2,2,116.44,506.8,19.3,52.4,4.5,LOW,0
Jaipur,31.4,0.0,6.9,53.0,0,50.0,313.9,13.1,4.4,29.2,LOW,0
Kolkata,35.0,6.4,5.5,93.3,0,219.69,318.1,7.6,26.0,21.4,LOW,0
Delhi,33.2,0.0,2.6,47.8,0,126.14,312.5,18.8,1.7,8.1,LOW,0
Jaipur,39.7,0.0,2.8,60.7,2,201.8,95.4,12.8,40.7,11.1,LOW,0
Jaipur,27.8,0.0,6.5,50.0,14,339.05,8.9,60.1,786.0,94.3,LOW,1
Bengaluru,29.8,0.0,10.0,26.3,3,127.45,655.0,0.4,62.6,3.7,LOW,0
Lucknow,38.4,14.7,5.1,100.0,3,60.33,375.3,18.0,69.0,5.4,MODERATE,0
Delhi,37.1,0.0,6.7,37.1,0,209.34,198.3,15.6,45.7,25.0,LOW,0
Delhi,27.9,3.1,8.0,79.3,3,174.26,256.5,18.3,32.4,2.1,LOW,0
Bengaluru,25.9,0.0,0.0,49.8,3,246.41,570.3,18.3,9.3,23.4,LOW,0
Pune,31.7,0.0,4.5,54.7,1,244.14,102.9,10.1,59.0,21.1,LOW,0
Jaipur,35.6,9.3,2.7,100.0,3,181.35,698.1,15.1,6.2,2.3,MODERATE,0
Pune,29.5,0.0,2.8,44.4,0,53.02,695.7,6.3,54.1,21.2,LOW,0
Pune,25.5,0.0,2.2,52.4,1,124.71,59.1,15.7,30.8,28.1,LOW,0
Jaipur,38.4,0.0,6.8,50.4,3,183.0,370.6,18.6,26.2,26.7,LOW,0
Chennai,32.6,19.9,9.5,100.0,1,190.17,166.0,16.3,65.5,1.5,MODERATE,0
Hyderabad,31.2,1.3,1.4,100.0,2,168.96,283.1,8.3,70.8,11.5,LOW,0
Hyderabad,34.3,19.2,6.2,90.4,2,204.15,321.5,5.2,64.0,10.0,MODERATE,0
Bengaluru,29.2,0.0,7.2,80.7,3,216.73,371.6,13.4,11.6,23.5,LOW,0
Mumbai,30.4,0.9,10.6,80.3,11,305.66,5.8,56.9,613.4,60.5,LOW,1
Jaipur,30.8,0.0,5.5,64.5,3,139.24,584.9,0.2,74.0,13.3,LOW,0
Lucknow,22.3,0.0,5.6,60.8,3,211.86,571.3,15.8,29.9,8.1,LOW,0
Bengaluru,30.6,44.1,4.1,83.7,2,217.58,621.7,18.7,35.1,18.3,LOW,0
Chennai,37.8,23.5,5.1,99.1,0,196.48,382.4,4.0,6.7,0.6,MODERATE,0
Lucknow,38.6,4.3,9.5,69.2,2,96.84,176.8,24.0,49.3,16.7,LOW,0
Bengaluru,33.4,0.0,0.0,44.6,2,159.34,424.5,0.6,75.6,20.9,LOW,0
Chennai,32.0,41.2,4.6,74.3,2,204.6,686.2,19.4,48.9,25.7,LOW,0
Delhi,48.2,0.0,8.9,58.4,0,224.83,165.6,3.2,22.8,15.9,MODERATE,1
Delhi,33.8,0.0,9.6,54.6,1,230.35,165.6,1.7,70.2,11.7,LOW,0
Jaipur,39.0,0.0,8.4,54.6,1,136.69,718.0,14.0,25.7,6.6,LOW,0
Pune,32.8,0.0,9.5,37.6,7,432.34,12.1,40.3,672.9,90.9,LOW,1
Jaipur,25.0,0.0,12.5,29.0,3,78.06,491.1,15.5,59.4,5.1,LOW,0
Jaipur,28.1,0.0,2.2,62.7,1,227.83,426.8,15.8,12.5,14.2,LOW,0
Pune,35.5,20.1,0.0,91.3,1,189.23,290.4,20.5,52.8,23.9,MODERATE,0
Pune,38.8,0.0,6.6,56.9,0,188.93,176.2,14.9,21.2,19.9,LOW,0
Hyderabad,35.4,0.0,3.9,63.9,3,56.23,204.7,0.8,70.3,7.3,LOW,0
Chennai,35.9,0.0,8.1,38.7,2,230.19,717.3,20.6,67.6,7.5,LOW,0
Pune,39.8,8.4,1.5,76.4,10,346.4,1.3,85.9,555.4,90.5,MODERATE,1
Kolkata,32.5,0.0,9.3,66.6,0,63.87,468.3,18.3,54.1,4.2,LOW,0
Jaipur,38.0,0.0,2.8,52.5,2,143.86,332.4,12.4,68.9,13.8,LOW,0
Pune,27.6,0.0,5.4,69.3,2,235.01,463.6,1.4,51.5,29.2,LOW,0
Pune,27.0,0.0,3.5,40.5,1,165.95,339.2,23.7,4.8,20.6,LOW,0
Bengaluru,34.2,0.0,7.6,43.2,0,166.9,604.3,16.1,6.3,22.2,MODERATE,0
Ahmedabad,45.1,3.1,7.3,82.5,1,181.81,171.0,21.6,70.9,5.9,MODERATE,0
Chennai,33.7,7.8,7.6,88.3,0,143.0,613.8,1.6,26.8,2.0,LOW,0
Kolkata,37.5,0.0,3.0,60.9,2,92.16,183.6,11.7,21.5,3.0,LOW,0
Hyderabad,38.9,0.0,0.0,61.5,3,75.94,202.5,8.9,53.9,1.9,LOW,0
Chennai,35.6,22.8,11.5,71.5,3,104.73,363.5,2.1,36.8,9.2,MODERATE,0
Jaipur,29.0,0.0,9.9,48.5,3,205.41,624.1,7.8,43.0,25.2,LOW,0
Bengaluru,28.1,0.0,3.9,64.0,3,122.28,622.4,10.2,26.3,13.6,LOW,0
Jaipur,40.6,0.0,7.1,55.5,3,147.92,472.7,5.7,44.2,11.2,LOW,0
Pune,30.9,0.0,4.3,65.2,1,243.99,421.6,3.6,30.0,23.9,LOW,0
Delhi,34.2,0.0,8.2,32.8,2,94.1,175.9,21.9,20.0,7.9,LOW,0
Lucknow,35.7,0.0,7.7,53.3,0,108.79,189.0,23.7,75.6,18.3,LOW,0
Lucknow,35.1,26.7,8.1,90.4,2,169.38,719.7,19.2,31.8,24.8,MODERATE,0
Chennai,29.3,0.0,9.0,73.4,3,56.98,407.6,11.0,67.1,4.8,LOW,0
Delhi,31.3,0.0,8.1,73.4,3,106.21,144.8,9.5,64.1,11.8,LOW,0
Kolkata,32.3,33.9,4.7,88.9,1,113.61,545.6,10.8,7.0,8.5,MODERATE,0
Delhi,34.8,0.0,5.8,61.1,0,180.68,157.8,7.4,49.6,18.0,LOW,0
Hyderabad,30.4,66.1,6.9,90.5,1,105.63,123.0,7.8,68.0,2.7,ELEVATED,0
Ahmedabad,38.6,0.0,5.1,38.3,2,82.56,438.3,3.8,77.4,13.4,LOW,0
Mumbai,28.1,13.9,10.6,77.7,3,132.24,304.1,22.1,71.6,27.3,MODERATE,0
Kolkata,28.5,39.2,5.0,81.7,3,73.98,535.5,13.3,23.0,14.8,MODERATE,0
